,ID,Description,human_SYMBOL,human_log2FoldChange,human_padj,human_sig,mouse_SYMBOL,mouse_log2FoldChange,mouse_padj,mouse_sig,sig
1,hsa00190,Oxidative phosphorylation,ND1,-0.386033627,0.466434205,none,ND1,0.133566662,0.695896425,none,none
2,hsa00190,Oxidative phosphorylation,ND2,-0.307375205,0.603840883,none,ND2,-1.442472197,0.002086397,none,none
3,hsa00190,Oxidative phosphorylation,ND3,-1.642594155,0.004073112,down,ND3,-3.306235175,0.054641011,none,none
4,hsa00190,Oxidative phosphorylation,ND4,0.277470604,0.644272109,none,ND4,-0.832832616,0.002110681,none,none
5,hsa00190,Oxidative phosphorylation,ND4L,0.033581195,0.963410009,none,ND4L,-3.268832742,0.013113417,down,none
6,hsa00190,Oxidative phosphorylation,ND5,0.106010456,0.869337992,none,ND5,-1.315437475,0.000307622,none,none
7,hsa00190,Oxidative phosphorylation,ND6,-0.213657696,0.739084863,none,ND6,-1.5036922,0.012183041,down,none
8,hsa00190,Oxidative phosphorylation,NDUFS1,3.483639275,9.45E-15,up,Ndufs1,2.905535032,6.12E-08,up,same
9,hsa00190,Oxidative phosphorylation,NDUFS2,2.208335021,9.40E-08,up,Ndufs2,3.59123169,4.50E-45,up,same
10,hsa00190,Oxidative phosphorylation,NDUFS3,2.60580528,3.34E-10,up,Ndufs3,3.377330912,3.89E-13,up,same
11,hsa00190,Oxidative phosphorylation,NDUFS4,1.820553534,0.00030188,up,Ndufs4,3.23668982,4.54E-33,up,same
12,hsa00190,Oxidative phosphorylation,NDUFS6,3.545204313,2.99E-16,up,Ndufs6,6.264214967,1.92E-19,up,same
13,hsa00190,Oxidative phosphorylation,NDUFS7,3.06199587,2.67E-11,up,Ndufs7,5.627620981,3.26E-38,up,same
14,hsa00190,Oxidative phosphorylation,NDUFS8,2.282053496,1.17E-07,up,Ndufs8,1.201704503,0.000895371,none,none
15,hsa00190,Oxidative phosphorylation,NDUFV1,1.395413242,0.001461152,none,Ndufv1,2.594918406,5.43E-07,up,none
16,hsa00190,Oxidative phosphorylation,NDUFV2,-1.083109796,0.227772432,none,Ndufv2,2.240001929,8.35E-21,up,none
17,hsa00190,Oxidative phosphorylation,NDUFV3,2.236632579,7.47E-06,up,Ndufv3,1.705213892,1.80E-06,up,same
18,hsa00190,Oxidative phosphorylation,NDUFA1,0.761619469,0.092834081,none,Ndufa1,2.771481612,0.000262514,up,none
19,hsa00190,Oxidative phosphorylation,NDUFA2,0.409467596,0.427528223,none,Ndufa2,0.088271159,0.814488135,none,none
20,hsa00190,Oxidative phosphorylation,NDUFA3,0.224031444,0.685703696,none,Ndufa3,5.030132838,2.24E-34,up,none
21,hsa00190,Oxidative phosphorylation,NDUFA4,2.642892337,1.69E-10,up,Ndufa4,1.66554658,0.001104296,up,same
22,hsa00190,Oxidative phosphorylation,NDUFA4L2,-3.890194167,NA,NA,Ndufa4l2,4.068129264,0.003537015,up,NA
23,hsa00190,Oxidative phosphorylation,NDUFA5,3.183354809,2.13E-14,up,Ndufa5,6.752874466,3.07E-26,up,same
24,hsa00190,Oxidative phosphorylation,NDUFA6,0.547895412,0.281902936,none,Ndufa6,2.19725234,1.31E-08,up,none
25,hsa00190,Oxidative phosphorylation,NDUFA7,1.218106265,0.598054316,none,Ndufa7,2.453349532,6.33E-11,up,none
26,hsa00190,Oxidative phosphorylation,NDUFA8,4.755475851,1.17E-30,up,Ndufa8,5.591251446,1.02E-17,up,same
27,hsa00190,Oxidative phosphorylation,NDUFA9,2.629845231,1.43E-07,up,Ndufa9,1.925541896,1.36E-17,up,same
28,hsa00190,Oxidative phosphorylation,NDUFA10,2.516008175,3.97E-09,up,Ndufa10,2.853911766,3.68E-25,up,same
29,hsa00190,Oxidative phosphorylation,NDUFAB1,1.937668899,2.94E-06,up,Ndufab1,0.572138703,0.059093373,none,none
30,hsa00190,Oxidative phosphorylation,NDUFA11,2.460544443,1.27E-07,up,Ndufa11,0.707273557,0.04860084,none,none
31,hsa00190,Oxidative phosphorylation,NDUFA12,3.390224019,2.40E-13,up,Ndufa12,4.345379638,1.36E-15,up,same
32,hsa00190,Oxidative phosphorylation,NDUFA13,0.456425461,0.570852596,none,Ndufa13,2.473016404,4.41E-15,up,none
33,hsa00190,Oxidative phosphorylation,NDUFB2,2.336690749,3.99E-08,up,Ndufb2,0.611775248,0.362886105,none,none
34,hsa00190,Oxidative phosphorylation,NDUFB3,3.345523217,1.97E-11,up,Ndufb3,3.395608384,8.57E-09,up,same
35,hsa00190,Oxidative phosphorylation,NDUFB4,1.734668047,0.000413484,up,Ndufb4,4.964007495,4.79E-20,up,same
36,hsa00190,Oxidative phosphorylation,NDUFB5,2.435974588,5.31E-08,up,Ndufb5,2.792942362,1.92E-19,up,same
37,hsa00190,Oxidative phosphorylation,NDUFB6,1.677351742,8.60E-05,up,Ndufb6,1.028730629,0.009295027,none,none
38,hsa00190,Oxidative phosphorylation,NDUFB7,1.076636686,0.035204148,none,Ndufb7,3.224403329,4.90E-12,up,none
39,hsa00190,Oxidative phosphorylation,NDUFB8,1.098850394,0.045681259,none,Ndufb8,3.124903549,5.76E-09,up,none
40,hsa00190,Oxidative phosphorylation,NDUFB9,0.689112089,0.165595809,none,Ndufb9,4.272765436,2.63E-47,up,none
41,hsa00190,Oxidative phosphorylation,NDUFB10,1.623689602,0.000160369,up,Ndufb10,3.156474801,2.63E-10,up,same
42,hsa00190,Oxidative phosphorylation,NDUFB11,0.796279625,0.092999914,none,Ndufb11,0.695817268,0.035220264,none,none
43,hsa00190,Oxidative phosphorylation,NDUFC1,2.052731794,2.34E-06,up,Ndufc1,3.388075584,6.64E-28,up,same
44,hsa00190,Oxidative phosphorylation,NDUFC2,4.114594651,4.73E-13,up,Ndufc2,5.904865497,4.18E-49,up,same
45,hsa00190,Oxidative phosphorylation,SDHA,0.434728602,0.550967118,none,Sdha,1.864015408,3.75E-10,up,none
46,hsa00190,Oxidative phosphorylation,SDHB,2.011269803,9.45E-07,up,Sdhb,3.672015364,1.17E-26,up,same
47,hsa00190,Oxidative phosphorylation,SDHC,-1.009767819,0.09683067,none,Sdhc,2.387928617,2.06E-11,up,none
48,hsa00190,Oxidative phosphorylation,SDHD,4.394445304,1.49E-20,up,Sdhd,5.570650905,2.51E-17,up,same
49,hsa00190,Oxidative phosphorylation,UQCRFS1,1.807874368,1.22E-05,up,Uqcrfs1,2.016519265,9.54E-09,up,same
50,hsa00190,Oxidative phosphorylation,CYTB,0.220050513,0.718024807,none,CYTB,-0.784212091,0.01448695,none,none
51,hsa00190,Oxidative phosphorylation,CYC1,4.561627117,3.63E-31,up,Cyc1,2.970439547,1.63E-16,up,same
52,hsa00190,Oxidative phosphorylation,UQCRC1,3.523725088,5.51E-17,up,Uqcrc1,3.822771831,1.29E-20,up,same
53,hsa00190,Oxidative phosphorylation,UQCRC2,1.321809623,0.009154681,none,Uqcrc2,3.68617715,9.34E-51,up,none
54,hsa00190,Oxidative phosphorylation,UQCRHL,2.824952803,7.14E-07,up,Uqcrh,3.487719973,6.51E-10,up,same
55,hsa00190,Oxidative phosphorylation,UQCRB,2.284044002,9.90E-08,up,Uqcrb,3.798257465,3.07E-20,up,same
56,hsa00190,Oxidative phosphorylation,UQCRQ,0.928862894,0.035250327,none,Uqcrq,3.815156058,4.89E-33,up,none
57,hsa00190,Oxidative phosphorylation,UQCR10,1.778517947,4.33E-05,up,Uqcr10,3.293385722,3.44E-21,up,same
58,hsa00190,Oxidative phosphorylation,UQCR11,4.564991798,3.79E-25,up,Uqcr11,3.68687747,1.26E-13,up,same
59,hsa00190,Oxidative phosphorylation,COX10,0.457476879,0.384428004,none,Cox10,-1.895482253,5.61E-07,down,none
60,hsa00190,Oxidative phosphorylation,COX3,0.60801782,0.274708773,none,COX3,-1.135401155,0.485711613,none,none
61,hsa00190,Oxidative phosphorylation,COX1,0.720857346,0.147696383,none,COX1,0.810814573,0.001221482,none,none
62,hsa00190,Oxidative phosphorylation,COX2,1.216144618,0.027189654,none,COX2,-0.444664725,0.803125635,none,none
63,hsa00190,Oxidative phosphorylation,COX4I2,-6.425586705,2.74E-17,down,Cox4i2,-5.714446825,0.002656836,down,same
64,hsa00190,Oxidative phosphorylation,COX4I1,2.000388059,8.23E-07,up,Cox4i1,3.156053349,1.44E-22,up,same
