"SYMBOL","uniprot","kegg","ID","human_log2FoldChange","human_padj","human_sig","mouse_SYMBOL","mouse_log2FoldChange","mouse_padj","mouse_sig","sig"
"AADAT","Q4W5N8","51166","hsa00380",3.170637991,9.15e-05,"up","Aadat",-2.087992368,NA,NA,NA
"AASDHPPT","Q9NRN7","60496","hsa00770",3.332914552,2.07e-13,"up","Aasdhppt",1.977132693,7.74e-09,"up","same"
"ABAT","P80404","18","hsa00250",-2.101502514,0.011169663,"down","Abat",-2.496291284,2.65e-06,"down","same"
"ABO","A0A089QDC1","28","hsa00601",0.132077716,0.971582172,"none","Abo",1.913182514,0.048634452,"up","none"
"ACAA2","B3KNP8","10449","hsa00280",2.554244881,6.34e-07,"up","Acaa2",6.993622827,6.66e-59,"up","same"
"ACAD8","Q9UKU7","27034","hsa00280",1.969635201,0.000188808,"up","Acad8",1.991974423,1.56e-07,"up","same"
"ACADL","P28330","33","hsa00071",-6.39064316,0.026989385,"down","Acadl",7.180116475,1.99e-33,"up","diff"
"ACADM","A0A0S2Z366","34","hsa00280",6.105361748,1.44e-37,"up","Acadm",1.683168863,1.16e-10,"up","same"
"ACADSB","A0A0S2Z3P9","36","hsa00071",0.157097654,0.827733891,"none","Acadsb",-1.672456293,1.35e-10,"down","none"
"ACAT1","A0A140VJX1","38","hsa00650",2.535916418,7.21e-08,"up","Acat1",-2.41187751,2.05e-17,"down","diff"
"ACAT2","Q9BWD1","39","hsa00280",2.611569386,1.1e-07,"up","Acat2",3.090153865,1.82e-31,"up","same"
"ACHE","P22303","43","hsa00564",-3.408304153,0.004341366,"down","Ache",-6.698408113,0.011405208,"down","same"
"ACO1","P21399","48","hsa00630",1.891953656,0.00028904,"up","Aco1",3.077964475,1.76e-28,"up","same"
"ACO2","Q99798","50","hsa00020",1.241675444,0.008529961,"none","Aco2",2.163436068,2.4e-16,"up","none"
"ACOT1","E9KL42","641371","hsa00062",-0.916716483,0.620958817,"none","Acot3",-7.893032778,9.74e-27,"down","none"
"ACOT2","P49753","10965","hsa00062",-1.092316863,0.18604066,"none","Acot2",2.459976784,9.07e-05,"up","none"
"ACOT7","O00154","11332","hsa00062",4.03996915,9.51e-18,"up","Acot7",0.757351296,0.063200223,"none","none"
"ACOX1","Q15067","51","hsa00071",3.568963795,1.71e-12,"up","Acox1",-0.443847323,0.069349277,"none","none"
"ACSBG1","B3KNS7","23205","hsa00071",-5.666959097,0.000287309,"down","Acsbg1",7.347444195,9.03e-10,"up","diff"
